homeTeamStats,awayTeamStats,Stat,id
4.0,22.0,Shots,93589
341.0,1040.0,Touches,93589
213.0,895.0,Passes,93589
14.0,7.0,Tackles,93589
32.0,6.0,Clearances,93589
0.0,7.0,Corners,93589
2.0,5.0,Offsides,93589
1.0,0.0,Yellow cards,93589
11.0,4.0,Fouls conceded,93589
0.0,6.0,Goal,93589
74.7,25.3,Possession %,93582
6.0,3.0,Shots on target,93582
20.0,10.0,Shots,93582
811.0,422.0,Touches,93582
608.0,206.0,Passes,93582
19.0,20.0,Tackles,93582
12.0,35.0,Clearances,93582
7.0,2.0,Corners,93582
2.0,4.0,Offsides,93582
2.0,4.0,Yellow cards,93582
8.0,13.0,Fouls conceded,93582
0.0,2.0,Goal,93582
72.9,27.1,Possession %,93586
8.0,1.0,Shots on target,93586
27.0,3.0,Shots,93586
981.0,478.0,Touches,93586
801.0,305.0,Passes,93586
5.0,19.0,Tackles,93586
4.0,41.0,Clearances,93586
15.0,2.0,Corners,93586
0.0,1.0,Offsides,93586
0.0,1.0,Yellow cards,93586
5.0,10.0,Fouls conceded,93586
3.0,1.0,Goal,93586
31.9,68.1,Possession %,93581
5.0,6.0,Shots on target,93581
14.0,17.0,Shots,93581
517.0,863.0,Touches,93581
297.0,642.0,Passes,93581
22.0,26.0,Tackles,93581
20.0,16.0,Clearances,93581
0.0,6.0,Corners,93581
1.0,4.0,Offsides,93581
3.0,1.0,Yellow cards,93581
10.0,9.0,Fouls conceded,93581
2.0,2.0,Goal,93581
46.5,53.5,Possession %,93585
5.0,8.0,Shots on target,93585
14.0,12.0,Shots,93585
542.0,613.0,Touches,93585
365.0,443.0,Passes,93585
12.0,15.0,Tackles,93585
17.0,25.0,Clearances,93585
8.0,6.0,Corners,93585
3.0,1.0,Offsides,93585
1.0,4.0,Yellow cards,93585
8.0,19.0,Fouls conceded,93585
2.0,3.0,Goal,93585
55.0,45.0,Possession %,93583
11.0,5.0,Shots on target,93583
22.0,12.0,Shots,93583
715.0,638.0,Touches,93583
498.0,407.0,Passes,93583
10.0,23.0,Tackles,93583
11.0,30.0,Clearances,93583
4.0,5.0,Corners,93583
2.0,1.0,Offsides,93583
1.0,2.0,Yellow cards,93583
9.0,6.0,Fouls conceded,93583
1.0,3.0,Goal,93583
29.5,70.5,Possession %,93584
5.0,5.0,Shots on target,93584
12.0,15.0,Shots,93584
488.0,948.0,Touches,93584
307.0,742.0,Passes,93584
24.0,16.0,Tackles,93584
27.0,12.0,Clearances,93584
2.0,6.0,Corners,93584
2.0,4.0,Offsides,93584
1.0,2.0,Yellow cards,93584
16.0,10.0,Fouls conceded,93584
3.0,0.0,Goal,93584
44.2,55.8,Possession %,93587
7.0,3.0,Shots on target,93587
14.0,12.0,Shots,93587
628.0,769.0,Touches,93587
451.0,564.0,Passes,93587
19.0,8.0,Tackles,93587
15.0,13.0,Clearances,93587
3.0,5.0,Corners,93587
0.0,2.0,Offsides,93587
0.0,1.0,Yellow cards,93587
8.0,11.0,Fouls conceded,93587
3.0,0.0,Goal,93587
29.4,70.6,Possession %,93588
2.0,2.0,Shots on target,93588
8.0,22.0,Shots,93588
490.0,876.0,Touches,93588
278.0,662.0,Passes,93588
20.0,20.0,Tackles,93588
26.0,11.0,Clearances,93588
3.0,12.0,Corners,93588
2.0,1.0,Offsides,93588
3.0,2.0,Yellow cards,93588
11.0,12.0,Fouls conceded,93588
0.0,1.0,Goal,93588
78.2,21.8,Possession %,93590
6.0,1.0,Shots on target,93590
14.0,4.0,Shots,93590
995.0,406.0,Touches,93590
818.0,226.0,Passes,93590
18.0,16.0,Tackles,93590
7.0,30.0,Clearances,93590
11.0,1.0,Corners,93590
2.0,5.0,Offsides,93590
1.0,2.0,Yellow cards,93590
7.0,16.0,Fouls conceded,93590
3.0,1.0,Goal,93590
41.3,58.7,Possession %,93579
6.0,8.0,Shots on target,93579
17.0,14.0,Shots,93579
628.0,775.0,Touches,93579
396.0,551.0,Passes,93579
15.0,31.0,Tackles,93579
